Wall time,Step,Value
1594612464.5145779,0,0.109375
1594612488.1158402,256,0.078125
1594612514.682627,512,0.1328125
1594612537.3555741,768,0.265625
1594612563.3818889,1024,0.5078125
1594612586.7104678,1280,0.6015625
1594612612.7505066,1536,0.671875
1594612635.682329,1792,0.7578125
1594612661.7048645,2048,0.7890625
1594612684.894638,2304,0.796875
1594612711.6241977,2560,0.7890625
1594612738.70528,2816,0.7265625
1594612761.6912212,3072,0.8359375
1594612788.5848868,3328,0.828125
1594612811.5875216,3584,0.8359375
1594612838.4051557,3840,0.8125
1594612861.3873951,4096,0.921875
1594612887.2188413,4352,0.859375
1594612910.197417,4608,0.8359375
1594612936.1949816,4864,0.8203125
1594612958.5312812,5120,0.8671875
1594612983.5708873,5376,0.8359375
1594613009.2717185,5632,0.859375
1594613032.5241756,5888,0.796875
1594613059.7143595,6144,0.8828125
1594613083.3399272,6400,0.859375
1594613109.8503604,6656,0.890625
1594613134.5513453,6912,0.890625
1594613161.4380217,7168,0.859375
1594613183.9269166,7424,0.8671875
1594613211.8103933,7680,0.859375
1594613235.828809,7936,0.921875
1594613261.7262359,8192,0.8515625
1594613288.6276844,8448,0.859375
1594613310.7169015,8704,0.890625
1594613336.54899,8960,0.8671875
1594613359.997723,9216,0.8828125
1594613386.0471485,9472,0.84375
1594613408.8425238,9728,0.859375
1594613434.8122787,9984,0.8828125
1594613457.8170347,10240,0.953125
1594613483.7376409,10496,0.8671875
1594613507.1801898,10752,0.8828125
1594613535.87268,11008,0.8359375
1594613562.5438266,11264,0.890625
1594613586.381244,11520,0.7890625
1594613612.7680407,11776,0.828125
1594613634.954946,12032,0.84375
1594613662.0692585,12288,0.8828125
1594613685.125907,12544,0.8203125
1594613712.0623794,12800,0.859375
1594613734.4533896,13056,0.8671875
1594613761.097639,13312,0.9453125
1594613784.1525996,13568,0.9453125
1594613810.9291027,13824,0.8515625
1594613838.2142644,14080,0.8984375
1594613861.4455972,14336,0.84375
1594613887.472791,14592,0.8984375
1594613911.98911,14848,0.921875
1594613939.7188725,15104,0.84375
1594613962.3711383,15360,0.8984375
1594613988.698192,15616,0.8828125
1594614011.4913132,15872,0.921875
1594614037.4652386,16128,0.859375
1594614063.9226224,16384,0.828125
1594614085.8351464,16640,0.9375
1594614111.1506824,16896,0.8515625
1594614133.4342942,17152,0.890625
1594614159.6511717,17408,0.828125
1594614182.0752454,17664,0.8984375
1594614209.289542,17920,0.8828125
1594614232.14533,18176,0.9140625
1594614258.7061868,18432,0.9140625
1594614281.8771064,18688,0.8515625
1594614308.1729734,18944,0.9375
1594614333.9525173,19200,0.90625
1594614356.125755,19456,0.9296875
1594614382.075285,19712,0.828125
1594614404.5652275,19968,0.890625
1594614431.3178046,20224,0.921875
1594614455.0966618,20480,0.90625
1594614481.7190793,20736,0.859375
1594614505.0876799,20992,0.8671875
1594614532.1444328,21248,0.890625
1594614556.280778,21504,0.9140625
1594614584.5873928,21760,0.921875
1594614611.034271,22016,0.9375
1594614634.4725926,22272,0.890625
1594614660.9965327,22528,0.8984375
1594614684.2541666,22784,0.890625
1594614711.8537962,23040,0.9140625
1594614735.4569018,23296,0.8515625
1594614762.046806,23552,0.9296875
1594614785.706774,23808,0.8984375
1594614811.7417784,24064,0.8984375
1594614834.0980237,24320,0.9296875
1594614861.0256166,24576,0.890625
1594614887.051947,24832,0.8671875
1594614909.8557103,25088,0.953125
1594614937.0776389,25344,0.875
1594614960.4074275,25600,0.921875
1594614987.0510418,25856,0.921875
1594615009.6509652,26112,0.9140625
1594615035.670627,26368,0.9296875
1594615059.0319905,26624,0.921875
1594615086.1551378,26880,0.8828125
1594615108.8309612,27136,0.9296875
1594615135.443115,27392,0.8984375
1594615161.2493405,27648,0.8515625
1594615183.4619668,27904,0.9375
1594615211.2133677,28160,0.9453125
1594615234.7142432,28416,0.890625
1594615261.2070646,28672,0.9140625
1594615283.2637224,28928,0.875
1594615309.65108,29184,0.9375
1594615332.0671604,29440,0.90625
1594615358.1124873,29696,0.8984375
1594615384.6495802,29952,0.953125
1594615407.4955726,30208,0.9453125
1594615434.0871596,30464,0.921875
1594615457.966999,30720,0.921875
1594615483.9479632,30976,0.859375
1594615507.1438663,31232,0.9296875
1594615533.0613675,31488,0.9140625
1594615556.1251094,31744,0.875
1594615583.2413151,32000,0.890625
1594615605.568892,32256,0.90625
1594615632.5531318,32512,0.921875
1594615658.2684512,32768,0.8828125
1594615681.5920167,33024,0.9375
1594615708.0052388,33280,0.921875
1594615730.5318913,33536,0.9296875
1594615757.8842673,33792,0.8671875
1594615781.3283749,34048,0.9140625
1594615806.9979627,34304,0.8984375
1594615829.8421104,34560,0.875
1594615857.0071738,34816,0.9375
1594615879.5516458,35072,0.9375
1594615905.147617,35328,0.9296875
1594615931.9737773,35584,0.90625
1594615955.2999842,35840,0.921875
1594615981.54107,36096,0.90625
1594616004.2361498,36352,0.90625
1594616030.3384693,36608,0.8984375
1594616054.3638382,36864,0.9296875
1594616080.9554293,37120,0.9140625
1594616104.2807043,37376,0.8828125
1594616130.2146163,37632,0.9140625
1594616152.255924,37888,0.9296875
1594616179.9712543,38144,0.9140625
1594616207.190096,38400,0.828125
1594616230.1388886,38656,0.9375
1594616256.2141414,38912,0.8984375
1594616279.2254915,39168,0.9375
1594616307.1517792,39424,0.9375
1594616329.6016176,39680,0.8984375
1594616355.9669793,39936,0.9296875
1594616378.99917,40192,0.9140625
1594616404.3635056,40448,0.9140625
1594616426.9942603,40704,0.9609375
1594616453.2869325,40960,0.8828125
1594616479.2106771,41216,0.96875
1594616502.595989,41472,0.828125
1594616529.677853,41728,0.921875
1594616552.0221195,41984,0.9140625
1594616578.514242,42240,0.9140625
1594616601.5602016,42496,0.890625
1594616627.765435,42752,0.890625
1594616650.4741626,43008,0.9140625
1594616676.3167267,43264,0.890625
1594616699.8551278,43520,0.96875
1594616726.5064309,43776,0.9140625
1594616753.3865287,44032,0.9140625
1594616777.4304996,44288,0.921875
1594616804.623899,44544,0.890625
1594616827.592459,44800,0.9296875
1594616854.1571743,45056,0.8984375
1594616877.332979,45312,0.8984375
1594616903.1328485,45568,0.9140625
1594616926.0573509,45824,0.8984375
1594616951.5856962,46080,0.9296875
1594616976.9575033,46336,0.8671875
1594616999.508307,46592,0.96875
