Wall time,Step,Value
1594625028.074857,0,0.0625
1594625056.957689,256,0.625
1594625085.666337,512,0.75
1594625114.3389325,768,0.53125
1594625246.5113208,1024,0.546875
1594625275.3209841,1280,0.5625
1594625303.9862206,1536,0.703125
1594625332.680452,1792,0.765625
1594625464.587097,2048,0.84375
1594625493.116206,2304,0.8125
1594625521.6320994,2560,0.71875
1594625653.4783587,2816,0.765625
1594625682.1720307,3072,0.796875
1594625710.8331294,3328,0.8125
1594625739.473824,3584,0.796875
1594625871.4795468,3840,0.734375
1594625900.2989666,4096,0.796875
1594625929.1205866,4352,0.859375
1594625957.8282442,4608,0.8125
1594626089.8158352,4864,0.765625
1594626118.5685213,5120,0.71875
1594626147.227433,5376,0.75
1594626279.4341304,5632,0.765625
1594626308.1544323,5888,0.796875
1594626336.9357173,6144,0.703125
1594626365.685173,6400,0.796875
1594626497.6024656,6656,0.828125
1594626526.195556,6912,0.75
1594626554.9456937,7168,0.75
1594626583.7172961,7424,0.75
1594626716.2548928,7680,0.78125
1594626745.1188376,7936,0.765625
1594626773.9805954,8192,0.84375
1594626906.4026022,8448,0.828125
1594626935.0478861,8704,0.703125
1594626963.6339047,8960,0.734375
1594626992.2567596,9216,0.78125
