Wall time,Step,Value
1604131360.2411323,0,0.140625
1604131362.7928529,256,0.640625
1604131365.3086126,512,0.6875
1604131367.5513089,768,0.421875
1604131371.2126787,1024,0.53125
1604131373.4123678,1280,0.46875
1604131375.8373165,1536,0.5625
1604131378.2702153,1792,0.671875
1604131382.0393262,2048,0.6875
1604131384.7916524,2304,0.59375
1604131387.1733675,2560,0.625
1604131390.9333067,2816,0.6875
1604131393.6242757,3072,0.796875
1604131396.262864,3328,0.703125
1604131398.585851,3584,0.734375
1604131402.45731,3840,0.703125
1604131404.9817426,4096,0.8125
1604131407.554166,4352,0.65625
1604131409.9213035,4608,0.859375
1604131413.3579466,4864,0.609375
1604131415.9593866,5120,0.75
1604131418.328407,5376,0.765625
1604131422.1757786,5632,0.765625
1604131424.864906,5888,0.71875
1604131427.3798027,6144,0.75
1604131429.7601805,6400,0.703125
1604131433.3648999,6656,0.875
1604131435.9136238,6912,0.765625
1604131438.5032825,7168,0.734375
1604131441.231076,7424,0.78125
1604131444.6756966,7680,0.8125
1604131446.9588606,7936,0.703125
1604131449.5656,8192,0.75
1604131453.035592,8448,0.765625
1604131455.6501439,8704,0.78125
1604131458.3941069,8960,0.78125
1604131460.8524067,9216,0.8125
1604131464.3468428,9472,0.828125
1604131466.851157,9728,0.78125
1604131469.2239385,9984,0.765625
1604131471.7505467,10240,0.765625
1604131475.460051,10496,0.765625
1604131477.8144407,10752,0.828125
1604131480.4851675,11008,0.765625
1604131484.4705234,11264,0.859375
1604131486.9493363,11520,0.703125
1604131489.238622,11776,0.6875
1604131491.601931,12032,0.703125
1604131495.5945184,12288,0.71875
1604131498.1245322,12544,0.75
1604131500.5069818,12800,0.78125
1604131503.0594807,13056,0.796875
1604131506.8503356,13312,0.796875
1604131509.5877852,13568,0.796875
1604131512.088599,13824,0.921875
1604131515.5722044,14080,0.796875
1604131518.4063783,14336,0.75
1604131520.9603083,14592,0.640625
1604131523.5099206,14848,0.796875
1604131527.0711129,15104,0.765625
1604131529.7271383,15360,0.828125
1604131532.303238,15616,0.75
1604131534.9567108,15872,0.859375
1604131538.674704,16128,0.734375
1604131541.2939663,16384,0.84375
1604131543.5691032,16640,0.8125
1604131547.2330654,16896,0.78125
1604131549.5453026,17152,0.859375
1604131552.1111698,17408,0.796875
1604131554.6012692,17664,0.71875
1604131558.0820928,17920,0.84375
1604131560.7094095,18176,0.859375
1604131563.2969675,18432,0.796875
1604131565.9031653,18688,0.796875
1604131569.8006506,18944,0.796875
1604131572.1497884,19200,0.796875
1604131574.6391287,19456,0.8125
1604131578.4278207,19712,0.8125
1604131580.875139,19968,0.6875
1604131583.2936547,20224,0.765625
1604131585.891846,20480,0.734375
1604131589.6689584,20736,0.84375
1604131592.3217416,20992,0.671875
1604131594.886966,21248,0.796875
1604131597.2492511,21504,0.8125
1604131601.1019852,21760,0.828125
1604131603.7446916,22016,0.890625
1604131606.377834,22272,0.84375
1604131610.1625583,22528,0.859375
1604131612.421637,22784,0.78125
1604131615.066381,23040,0.828125
1604131617.704913,23296,0.734375
1604131621.0562975,23552,0.703125
1604131623.661636,23808,0.8125
1604131626.2335107,24064,0.796875
1604131628.3261101,24320,0.8125
1604131632.4052205,24576,0.8125
1604131634.816518,24832,0.765625
1604131637.159832,25088,0.90625
1604131640.7645142,25344,0.796875
1604131643.3569546,25600,0.796875
1604131645.9670367,25856,0.875
1604131648.5572987,26112,0.78125
1604131652.1385992,26368,0.859375
1604131654.5714402,26624,0.84375
1604131657.2045653,26880,0.796875
1604131659.9482033,27136,0.84375
1604131663.975045,27392,0.859375
1604131666.5654044,27648,0.90625
1604131669.1748035,27904,0.8125
1604131672.9362507,28160,0.859375
1604131675.2932546,28416,0.796875
1604131677.9194596,28672,0.859375
1604131680.5826225,28928,0.84375
1604131684.3148966,29184,0.84375
1604131686.610887,29440,0.765625
1604131688.8585227,29696,0.765625
1604131691.433307,29952,0.75
1604131695.070174,30208,0.78125
1604131697.6961858,30464,0.78125
1604131700.4926052,30720,0.8125
1604131704.314331,30976,0.859375
1604131706.520924,31232,0.84375
1604131709.0504885,31488,0.890625
1604131711.3906395,31744,0.796875
1604131714.8731906,32000,0.84375
1604131717.189956,32256,0.8125
1604131719.9166408,32512,0.78125
1604131722.5132182,32768,0.828125
1604131726.208422,33024,0.8125
1604131728.9056785,33280,0.671875
1604131731.4445963,33536,0.8125
1604131735.2387846,33792,0.734375
1604131737.878219,34048,0.8125
1604131740.5473726,34304,0.8125
1604131742.9839954,34560,0.8125
1604131746.6383553,34816,0.859375
1604131749.2444153,35072,0.765625
1604131751.8055072,35328,0.828125
1604131754.1947157,35584,0.796875
1604131757.8701491,35840,0.890625
1604131760.3556826,36096,0.765625
1604131763.2470722,36352,0.78125
1604131767.2870018,36608,0.765625
1604131769.9751515,36864,0.828125
1604131772.347634,37120,0.828125
1604131774.8935697,37376,0.828125
1604131778.4685104,37632,0.828125
1604131780.7092276,37888,0.8125
1604131783.2184064,38144,0.75
1604131785.500281,38400,0.765625
1604131789.2868054,38656,0.828125
1604131791.653077,38912,0.875
1604131794.2471335,39168,0.78125
1604131797.834125,39424,0.765625
1604131800.476134,39680,0.78125
1604131803.1334105,39936,0.828125
1604131805.8150558,40192,0.84375
1604131809.7089484,40448,0.6875
1604131812.3990445,40704,0.828125
1604131814.9800317,40960,0.8125
1604131817.2679334,41216,0.78125
1604131820.6423595,41472,0.765625
1604131823.0090032,41728,0.8125
1604131825.3441365,41984,0.828125
1604131829.28187,42240,0.828125
1604131831.5938826,42496,0.796875
1604131834.2583618,42752,0.859375
1604131836.9520133,43008,0.78125
1604131840.6078,43264,0.890625
1604131843.173357,43520,0.875
1604131845.6932313,43776,0.796875
1604131848.3579962,44032,0.828125
1604131852.2108295,44288,0.71875
1604131854.713908,44544,0.828125
1604131857.3355634,44800,0.796875
1604131860.9997075,45056,0.71875
1604131863.5080795,45312,0.859375
1604131865.9864275,45568,0.90625
1604131868.4222257,45824,0.78125
1604131872.1264915,46080,0.84375
1604131874.7615445,46336,0.84375
1604131877.4550285,46592,0.796875
1604131880.04287,46848,0.765625
1604131883.485685,47104,0.734375
1604131885.8977456,47360,0.8125
1604131888.4110658,47616,0.78125
1604131891.7939205,47872,0.828125
1604131894.1400585,48128,0.796875
1604131896.6569517,48384,0.765625
1604131899.160262,48640,0.84375
1604131902.8947778,48896,0.828125
1604131905.3282113,49152,0.84375
1604131907.87595,49408,0.8125
1604131911.948074,49664,0.796875
1604131914.5599706,49920,0.8125
1604131917.243204,50176,0.90625
1604131919.8797033,50432,0.828125
1604131923.4311278,50688,0.8125
1604131925.994186,50944,0.71875
1604131928.515974,51200,0.859375
1604131931.0661902,51456,0.8125
1604131935.053488,51712,0.8125
1604131937.7058182,51968,0.734375
1604131940.3891046,52224,0.796875
1604131944.3878515,52480,0.796875
1604131946.854333,52736,0.8125
1604131949.2865841,52992,0.796875
1604131951.802406,53248,0.796875
1604131955.7416046,53504,0.796875
1604131958.6077945,53760,0.6875
1604131961.0499449,54016,0.796875
1604131963.5760798,54272,0.75
1604131967.6903713,54528,0.859375
1604131970.1725917,54784,0.796875
1604131972.8906,55040,0.796875
1604131976.5698333,55296,0.734375
1604131978.8621478,55552,0.828125
1604131981.001663,55808,0.84375
1604131983.5237446,56064,0.828125
1604131987.334696,56320,0.75
1604131989.5060782,56576,0.875
1604131992.3018208,56832,0.765625
1604131994.7665572,57088,0.828125
1604131998.314223,57344,0.78125
1604132001.0464852,57600,0.78125
1604132003.666709,57856,0.796875
1604132007.2463865,58112,0.796875
1604132009.6083422,58368,0.71875
1604132012.2737596,58624,0.84375
1604132015.0430942,58880,0.84375
1604132018.9452627,59136,0.921875
1604132021.2515643,59392,0.859375
1604132023.8525057,59648,0.84375
1604132026.5571582,59904,0.859375
1604132030.4472759,60160,0.765625
1604132033.0694444,60416,0.75
1604132035.7028081,60672,0.90625
1604132039.439301,60928,0.796875
1604132041.9938495,61184,0.859375
1604132044.6086717,61440,0.875
1604132046.84833,61696,0.734375
1604132050.514815,61952,0.9375
1604132052.8213937,62208,0.84375
1604132055.411544,62464,0.84375
1604132058.0366502,62720,0.859375
1604132061.7281897,62976,0.796875
1604132064.3056135,63232,0.796875
1604132066.7256136,63488,0.796875
1604132070.1987336,63744,0.859375
1604132072.850536,64000,0.859375
1604132075.2668288,64256,0.828125
1604132077.3773608,64512,0.90625
1604132081.0846453,64768,0.8125
1604132083.4413815,65024,0.890625
1604132085.9266362,65280,0.9375
1604132088.2059803,65536,0.84375
1604132091.4969053,65792,0.796875
1604132093.9087713,66048,0.84375
1604132096.3924458,66304,0.859375
1604132100.059616,66560,0.6875
1604132102.501947,66816,0.828125
1604132105.0009696,67072,0.8125
1604132107.2606764,67328,0.796875
1604132110.9074228,67584,0.859375
1604132113.4300478,67840,0.84375
1604132115.660749,68096,0.84375
1604132118.4550025,68352,0.765625
1604132122.173274,68608,0.9375
1604132124.6897535,68864,0.859375
1604132127.07707,69120,0.78125
1604132130.8614316,69376,0.78125
1604132133.560635,69632,0.765625
1604132136.1430764,69888,0.796875
1604132138.7715836,70144,0.875
1604132142.19086,70400,0.78125
1604132144.630604,70656,0.8125
1604132146.9130466,70912,0.828125
1604132149.2892187,71168,0.78125
1604132152.7249606,71424,0.78125
1604132155.3250973,71680,0.8125
1604132157.9127448,71936,0.6875
1604132161.9012802,72192,0.890625
1604132164.3453183,72448,0.859375
1604132167.140265,72704,0.75
1604132169.5514586,72960,0.796875
1604132173.3003056,73216,0.859375
1604132175.5672615,73472,0.8125
1604132178.171571,73728,0.734375
1604132180.5929327,73984,0.78125
1604132184.279806,74240,0.84375
1604132186.9848635,74496,0.859375
1604132189.7144935,74752,0.828125
1604132193.5980663,75008,0.828125
1604132196.2291453,75264,0.84375
1604132198.803402,75520,0.84375
1604132201.3535473,75776,0.828125
1604132205.1217904,76032,0.828125
1604132207.76428,76288,0.8125
1604132210.4400394,76544,0.796875
1604132213.037462,76800,0.875
1604132216.7385366,77056,0.75
1604132219.248194,77312,0.828125
1604132221.6376112,77568,0.828125
1604132225.5310614,77824,0.828125
1604132228.0563304,78080,0.859375
1604132230.577413,78336,0.796875
1604132233.1289334,78592,0.71875
1604132236.953864,78848,0.796875
1604132239.6846282,79104,0.796875
1604132242.4089603,79360,0.828125
1604132244.5921779,79616,0.796875
1604132248.292458,79872,0.859375
1604132251.0512755,80128,0.734375
1604132253.3846774,80384,0.859375
1604132256.8078985,80640,0.734375
1604132259.1147747,80896,0.71875
1604132261.6167896,81152,0.8125
1604132263.8879075,81408,0.8125
1604132267.2483113,81664,0.890625
1604132269.7902398,81920,0.765625
1604132272.2602484,82176,0.84375
1604132274.984682,82432,0.90625
1604132278.8051577,82688,0.78125
1604132281.1497953,82944,0.828125
1604132283.7483969,83200,0.921875
1604132287.2978578,83456,0.875
1604132289.7395585,83712,0.859375
1604132291.9212592,83968,0.84375
1604132294.049675,84224,0.8125
1604132297.8083937,84480,0.828125
1604132300.358654,84736,0.8125
1604132302.7242024,84992,0.6875
1604132305.4703875,85248,0.890625
1604132309.1018429,85504,0.921875
1604132311.3906999,85760,0.8125
1604132313.90025,86016,0.875
1604132317.4286058,86272,0.75
1604132319.9982753,86528,0.859375
1604132322.6643744,86784,0.71875
1604132325.4179273,87040,0.828125
1604132328.8930802,87296,0.859375
1604132331.5938084,87552,0.78125
1604132334.350562,87808,0.828125
1604132336.668074,88064,0.765625
1604132340.3981106,88320,0.796875
1604132342.9764774,88576,0.859375
1604132345.7560573,88832,0.84375
1604132349.6637623,89088,0.828125
1604132352.4573095,89344,0.8125
1604132355.1835587,89600,0.859375
1604132357.9315996,89856,0.828125
1604132361.8324413,90112,0.8125
1604132364.9557724,90368,0.921875
1604132368.2141888,90624,0.796875
1604132371.1263368,90880,0.796875
1604132375.24106,91136,0.8125
1604132377.8756614,91392,0.84375
1604132380.5663073,91648,0.859375
1604132383.8922439,91904,0.8125
1604132386.4531002,92160,0.8125
1604132389.2416644,92416,0.828125
1604132391.8206394,92672,0.84375
1604132395.7677352,92928,0.78125
1604132398.541577,93184,0.8125
1604132401.1558504,93440,0.828125
1604132403.5624142,93696,0.796875
