Wall time,Step,Value
1607684403.8759758,0,0.125
1607684417.7079406,256,0.8046875
1607684433.8570364,512,0.8515625
1607684447.7599514,768,0.9140625
1607684464.175622,1024,0.953125
1607684478.1112258,1280,0.859375
1607684494.3241143,1536,0.90625
1607684508.2625284,1792,0.90625
1607684524.5809064,2048,0.8359375
1607684538.531006,2304,0.90625
1607684554.8825357,2560,0.9375
1607684571.271906,2816,0.9140625
1607684585.2120893,3072,0.8984375
1607684601.4041507,3328,0.9609375
1607684615.3585637,3584,0.96875
1607684631.7598605,3840,0.9453125
1607684645.698687,4096,0.96875
1607684661.9789762,4352,0.9453125
1607684675.930733,4608,0.90625
1607684692.3875062,4864,0.9609375
1607684706.3461306,5120,0.9140625
1607684722.508165,5376,0.8984375
1607684738.6538057,5632,0.9375
1607684752.607088,5888,0.921875
1607684768.9380605,6144,0.9375
1607684782.9211495,6400,0.9453125
1607684799.4596918,6656,0.9765625
1607684813.8039484,6912,0.9296875
1607684830.6938834,7168,0.9765625
1607684845.0567832,7424,0.96875
1607684862.011592,7680,0.9453125
1607684876.3534393,7936,0.9453125
1607684893.1928911,8192,0.921875
1607684910.333801,8448,0.9375
1607684924.6660755,8704,0.921875
1607684941.199258,8960,0.953125
1607684955.1521049,9216,0.9375
1607684971.4971952,9472,0.953125
1607684985.4438057,9728,0.953125
1607685001.5484908,9984,0.9296875
1607685015.5109885,10240,0.921875
1607685031.6297905,10496,0.953125
1607685045.5784857,10752,0.9453125
1607685062.2593365,11008,0.9375
1607685079.0288172,11264,0.953125
1607685093.4072845,11520,0.9609375
1607685110.3495226,11776,0.953125
1607685124.6862075,12032,0.96875
1607685141.5223358,12288,0.9375
1607685155.878182,12544,0.96875
1607685172.576196,12800,0.9765625
1607685186.9412851,13056,0.9765625
1607685203.1849842,13312,0.9765625
1607685217.1610103,13568,0.9375
1607685233.387162,13824,0.9375
1607685249.6351862,14080,0.9765625
1607685263.607543,14336,0.9609375
1607685279.8659005,14592,0.984375
1607685293.8218734,14848,0.9453125
1607685309.8631852,15104,0.9609375
1607685323.819652,15360,0.9921875
1607685339.948806,15616,0.9609375
1607685353.908525,15872,0.984375
1607685370.2780743,16128,0.953125
1607685386.4979928,16384,0.9765625
1607685400.4439332,16640,0.9375
1607685416.6027822,16896,0.9609375
1607685430.5479832,17152,0.984375
1607685446.6952157,17408,0.953125
1607685460.6646543,17664,1.0
1607685476.7503178,17920,0.9765625
1607685490.7165656,18176,0.96875
1607685506.9465132,18432,0.984375
1607685520.8894744,18688,0.9609375
1607685537.0615587,18944,0.96875
1607685553.186423,19200,0.9921875
1607685567.1535234,19456,0.9609375
1607685583.3541567,19712,0.96875
1607685597.2918072,19968,1.0
1607685613.4684803,20224,0.9921875
1607685627.4189322,20480,0.9453125
1607685643.7660158,20736,0.9375
1607685657.7120306,20992,0.96875
1607685673.8929949,21248,0.96875
1607685687.858263,21504,0.9375
1607685704.0682905,21760,1.0
1607685720.121716,22016,1.0
1607685734.0762815,22272,0.9765625
1607685750.2140377,22528,0.9765625
1607685764.1537561,22784,0.96875
1607685780.2536285,23040,0.9765625
1607685794.2288656,23296,0.984375
1607685810.4228692,23552,0.984375
1607685824.3504364,23808,0.9921875
1607685840.4664412,24064,0.9921875
1607685854.40822,24320,0.9921875
1607685870.5940366,24576,0.96875
1607685886.6938322,24832,0.9609375
1607685900.609621,25088,0.9609375
1607685916.759815,25344,0.984375
1607685930.6977904,25600,0.9921875
1607685946.7938588,25856,0.9921875
1607685961.1106596,26112,0.9609375
1607685977.7991593,26368,0.96875
1607685992.1475422,26624,0.9921875
1607686009.0893397,26880,0.9765625
1607686023.4431992,27136,0.9765625
1607686040.1263762,27392,0.9765625
1607686056.7854888,27648,0.9921875
1607686071.1108806,27904,0.9921875
1607686087.5039005,28160,0.984375
1607686101.4719381,28416,1.0
1607686117.6310098,28672,1.0
1607686131.5601559,28928,0.9921875
1607686147.6721625,29184,0.9765625
1607686161.5997317,29440,0.984375
1607686177.7546806,29696,0.9921875
1607686193.2790928,29952,0.9921875
1607686207.745253,30208,0.9921875
1607686223.8700569,30464,0.9765625
1607686237.7752266,30720,0.9921875
1607686253.9126801,30976,0.9765625
1607686267.8209653,31232,0.9609375
1607686284.0228772,31488,0.984375
1607686297.9633043,31744,0.984375
1607686314.1236827,32000,0.984375
1607686328.0390608,32256,1.0
1607686344.1440792,32512,0.984375
1607686360.2627532,32768,1.0
1607686374.1873045,33024,0.984375
1607686390.7340627,33280,0.984375
1607686404.6647708,33536,1.0
1607686420.8166902,33792,0.9765625
1607686434.7508156,34048,0.984375
1607686450.8927786,34304,0.9921875
1607686464.828923,34560,0.984375
1607686481.04528,34816,1.0
1607686495.004476,35072,0.9921875
1607686511.3553643,35328,1.0
1607686527.4863005,35584,0.9765625
1607686541.4309177,35840,0.9765625
1607686557.7081697,36096,1.0
1607686571.6407714,36352,0.96875
1607686587.7995555,36608,0.9921875
1607686601.742741,36864,0.984375
1607686617.8231094,37120,0.984375
1607686631.7718828,37376,0.9921875
1607686647.9379816,37632,0.9921875
1607686661.8581927,37888,0.984375
1607686678.1857848,38144,0.9921875
1607686694.206388,38400,0.984375
1607686708.1711583,38656,0.9921875
1607686724.2354076,38912,0.9921875
1607686738.1876132,39168,1.0
1607686754.3480365,39424,0.984375
1607686768.3095834,39680,0.9921875
1607686784.4440882,39936,0.984375
1607686798.3748085,40192,0.96875
1607686814.7964592,40448,1.0
1607686828.7500849,40704,0.984375
1607686844.9107895,40960,0.9921875
1607686861.0268478,41216,1.0
1607686874.9738216,41472,1.0
1607686891.1195822,41728,0.984375
1607686905.0667236,41984,0.9921875
1607686921.298467,42240,0.9921875
1607686935.2509818,42496,0.9921875
1607686951.410236,42752,0.984375
1607686965.3559134,43008,0.984375
1607686981.4662297,43264,0.984375
1607686995.399322,43520,0.9765625
1607687011.508585,43776,0.9921875
1607687027.9063292,44032,0.984375
1607687041.8773227,44288,0.9921875
1607687058.0101857,44544,0.953125
1607687071.9925046,44800,0.984375
1607687088.2608151,45056,0.9921875
1607687102.2091837,45312,0.9921875
1607687118.3521743,45568,1.0
1607687132.297113,45824,0.9921875
1607687148.6541348,46080,0.9921875
1607687164.993225,46336,1.0
1607687178.9434557,46592,0.984375
