Wall time,Step,Value
1607679735.5157585,0,0.125
1607679757.3935392,256,0.8359375
1607679782.8550224,512,0.8515625
1607679804.797058,768,0.9140625
1607679830.2001445,1024,0.953125
1607679852.1609075,1280,0.8671875
1607679877.5775127,1536,0.9296875
1607679899.5598574,1792,0.875
1607679925.05507,2048,0.890625
1607679947.0351005,2304,0.9140625
1607679972.3996546,2560,0.921875
1607679997.911181,2816,0.90625
1607680019.883595,3072,0.890625
1607680045.3504412,3328,0.9453125
1607680067.3395536,3584,0.9453125
1607680092.7936049,3840,0.921875
1607680114.756296,4096,0.9609375
1607680140.3068306,4352,0.9375
1607680162.309856,4608,0.9140625
1607680187.4678013,4864,0.9375
1607680209.4363015,5120,0.9375
1607680234.7796469,5376,0.8671875
1607680260.4500258,5632,0.953125
1607680282.7873166,5888,0.9296875
1607680308.61247,6144,0.96875
1607680330.9804084,6400,0.953125
1607680356.3377993,6656,0.9453125
1607680378.315663,6912,0.921875
1607680403.5989947,7168,0.96875
1607680425.5477142,7424,0.96875
1607680451.0752091,7680,0.9375
1607680473.0628507,7936,0.953125
1607680498.3427386,8192,0.921875
1607680523.6500704,8448,0.9453125
1607680545.635764,8704,0.90625
1607680570.954569,8960,0.953125
1607680592.9309928,9216,0.9375
1607680618.338034,9472,0.9765625
1607680640.3193145,9728,0.953125
1607680665.5737329,9984,0.953125
1607680687.5396304,10240,0.9140625
1607680712.870495,10496,0.9609375
1607680734.8577273,10752,0.9375
1607680760.4927738,11008,0.9375
1607680785.821565,11264,0.9453125
1607680807.792726,11520,0.984375
1607680833.2910795,11776,0.9765625
1607680855.264659,12032,0.9609375
1607680880.5136895,12288,0.9453125
1607680902.5044386,12544,0.921875
1607680927.6684868,12800,0.953125
1607680949.6527965,13056,0.953125
1607680974.9559567,13312,0.953125
1607680996.926655,13568,0.953125
1607681022.2252007,13824,0.9453125
1607681047.8722503,14080,0.9765625
1607681069.850303,14336,0.9765625
1607681095.3636405,14592,0.9765625
1607681117.3297796,14848,0.953125
1607681142.7568192,15104,0.9609375
1607681165.1214898,15360,0.9765625
1607681190.923783,15616,0.9765625
1607681213.2587378,15872,0.953125
1607681238.632627,16128,0.9453125
1607681263.9329946,16384,0.9765625
1607681285.8715577,16640,0.953125
1607681311.1653352,16896,0.984375
1607681333.123398,17152,0.953125
1607681358.4167202,17408,0.9765625
1607681380.3775988,17664,0.953125
1607681405.661745,17920,0.9765625
1607681427.6181133,18176,0.9609375
1607681453.096802,18432,0.96875
1607681475.0629148,18688,0.984375
1607681500.3336387,18944,0.984375
1607681525.5426733,19200,1.0
1607681547.53516,19456,0.9765625
1607681573.0488427,19712,0.96875
1607681595.0299187,19968,0.9921875
1607681620.5454164,20224,0.9921875
1607681642.537046,20480,0.96875
1607681667.8646102,20736,0.953125
1607681689.8563333,20992,0.953125
1607681715.0890899,21248,0.9453125
1607681737.0708318,21504,0.9296875
1607681762.5477653,21760,0.9765625
1607681787.9154084,22016,0.9921875
1607681809.8782094,22272,0.96875
1607681835.8457403,22528,0.9765625
1607681858.190743,22784,0.9296875
1607681884.0201452,23040,0.9921875
1607681906.3836215,23296,0.9921875
1607681931.5653439,23552,0.984375
1607681953.5412571,23808,1.0
1607681978.821332,24064,0.96875
1607682000.858124,24320,0.984375
1607682026.217587,24576,0.9921875
1607682051.7438078,24832,1.0
1607682073.831546,25088,0.9765625
1607682099.7458842,25344,0.96875
1607682122.0020518,25600,0.9921875
1607682147.2365777,25856,0.984375
1607682169.3825705,26112,0.984375
1607682195.006661,26368,0.984375
1607682217.3867571,26624,0.9453125
1607682243.2085369,26880,0.96875
1607682265.5727892,27136,0.9765625
1607682290.825828,27392,0.9765625
1607682316.007147,27648,0.9921875
1607682337.9801102,27904,0.96875
1607682363.259856,28160,0.9921875
1607682385.2314372,28416,0.984375
1607682410.5260978,28672,0.9609375
1607682432.4613616,28928,0.984375
