Wall time,Step,Value
1597563186.4882274,0,0.09375
1597563235.0536146,256,0.8125
1597563283.071407,512,0.8125
1597563331.142308,768,0.890625
1597563390.2001462,1024,0.828125
1597563438.1266632,1280,0.859375
1597563486.114091,1536,0.890625
1597563534.2001624,1792,0.8125
1597563593.412675,2048,0.875
1597563641.3604288,2304,0.90625
1597563688.991565,2560,0.90625
1597563747.5840087,2816,0.953125
1597563795.9457986,3072,0.875
1597563845.0178678,3328,0.875
1597563893.5121548,3584,0.90625
1597563951.9749522,3840,0.890625
1597564000.07461,4096,0.921875
1597564048.7478702,4352,0.96875
1597564097.0429366,4608,0.921875
1597564155.4907734,4864,0.890625
1597564203.9971466,5120,0.90625
1597564252.2730536,5376,0.890625
1597564311.052273,5632,0.9375
1597564359.4633741,5888,0.921875
1597564406.5643797,6144,0.875
1597564453.7674649,6400,0.96875
1597564511.3670304,6656,0.890625
1597564558.157213,6912,0.875
1597564605.518018,7168,0.90625
1597564652.5757446,7424,0.859375
1597564710.7184718,7680,0.84375
1597564758.9033587,7936,0.90625
1597564807.064131,8192,0.921875
1597564866.2988222,8448,0.984375
1597564913.8942893,8704,0.875
1597564963.3123815,8960,0.828125
1597565012.144816,9216,0.96875
1597565072.0630786,9472,0.921875
1597565120.3121982,9728,0.875
1597565168.2562406,9984,0.921875
1597565216.755611,10240,0.921875
1597565276.6515214,10496,0.96875
1597565325.10188,10752,0.9375
1597565373.9600997,11008,0.96875
1597565433.1425114,11264,0.9375
1597565480.7006478,11520,0.9375
1597565528.093906,11776,0.921875
1597565575.718163,12032,0.96875
1597565634.8719046,12288,0.90625
1597565683.512231,12544,0.890625
1597565731.5939913,12800,0.96875
1597565779.7527921,13056,0.9375
1597565838.9890535,13312,0.921875
1597565887.385693,13568,0.921875
1597565935.4888752,13824,0.890625
1597565993.1873147,14080,0.90625
1597566040.1430135,14336,0.921875
1597566087.0238545,14592,0.921875
1597566134.408904,14848,0.984375
1597566192.715532,15104,0.921875
1597566240.807049,15360,0.890625
1597566288.809873,15616,0.90625
1597566337.0392084,15872,0.96875
1597566395.936122,16128,0.90625
1597566444.3999124,16384,0.953125
1597566492.508181,16640,0.953125
1597566552.0774395,16896,0.921875
1597566599.688407,17152,0.9375
1597566648.5706363,17408,0.890625
1597566697.2785916,17664,0.953125
1597566757.0161464,17920,0.953125
1597566804.991343,18176,0.9375
1597566852.2121487,18432,0.9375
1597566900.0674164,18688,0.9375
1597566958.8720827,18944,0.921875
1597567006.4561307,19200,0.875
1597567054.851907,19456,0.9375
1597567113.375065,19712,0.953125
1597567160.7666972,19968,0.953125
1597567207.975511,20224,0.90625
1597567257.382697,20480,0.90625
1597567317.2698908,20736,1.0
