model,topology,gpus,global_batch_size,micro_batch_size,repeats,throughput_median,throughput_min,throughput_max,peak_memory_gib_median,peak_memory_gib_min,peak_memory_gib_max
sew-resnet34,dp4,4,64,16,3,510.40083154821735,503.531173226917,513.4521183942526,1.1537885665893555,1.1537885665893555,1.1537885665893555
sew-resnet34,dp4,4,128,32,3,1003.0752306216029,997.1514872651078,1008.916871366853,1.756319522857666,1.756319522857666,1.8296027183532715
sew-resnet34,dp4,4,256,64,3,1980.6601271263035,1956.1151601040135,2002.9566580706323,3.179027557373047,3.103837013244629,3.179027557373047
sew-resnet34,dp4,4,512,128,3,3390.243511121845,3361.1421730822613,3400.2415273974525,5.872384548187256,5.872384548187256,5.872384548187256
sew-resnet34,dp4,4,1024,256,3,3616.208803388526,3613.0942551967064,3623.8280601918063,11.248475551605225,11.168397426605225,11.248475551605225
sew-resnet34,fsdp4,4,64,16,3,284.8363656145694,281.4440511159592,290.5904961897916,0.7829170227050781,0.7829170227050781,0.7829170227050781
sew-resnet34,fsdp4,4,128,32,3,582.0860818282306,563.3267069574564,583.3283692990761,1.4512815475463867,1.4512815475463867,1.4512815475463867
sew-resnet34,fsdp4,4,256,64,3,1166.5639310399472,1140.555176565198,1166.5953666319856,2.789604663848877,2.789604663848877,2.789604663848877
sew-resnet34,fsdp4,4,512,128,3,2259.981445812269,2241.2339401794666,2285.891854740781,5.489433288574219,5.489433288574219,5.489433288574219
sew-resnet34,fsdp4,4,1024,256,3,3482.454811683212,3434.4884811720804,3497.63139964323,10.864201545715332,10.864201545715332,10.864201545715332
sew-resnet34,pp4,4,16,16,3,59.08949933660715,59.04305489454895,61.40641254307957,0.37638330459594727,0.37638330459594727,0.37638330459594727
sew-resnet34,pp4,4,32,32,3,123.77985161212617,119.38952239731525,123.85574920424335,0.7496743202209473,0.7496743202209473,0.7496743202209473
sew-resnet34,pp4,4,64,64,3,241.86042345712943,241.40646996286623,243.07473568504102,1.4943032264709473,1.4943032264709473,1.4943032264709473
sew-resnet34,pp4,4,128,128,3,489.4802886669943,487.95454442297097,491.82959306871464,2.9737958908081055,2.9737958908081055,2.9737958908081055
sew-resnet34,pp4,4,256,256,3,974.0583731919194,949.4337204393648,994.2060516388676,5.944499969482422,5.944499969482422,5.944499969482422
sew-resnet34,pp4,4,512,512,3,1636.4997354725876,1589.4516373616082,1652.1797821705334,11.885908126831055,11.885908126831055,11.885908126831055
sew-resnet34,serial,1,16,16,3,135.44406771485563,129.3275885731614,138.6555417092568,0.9953494071960449,0.9953494071960449,0.9953494071960449
sew-resnet34,serial,1,32,32,3,268.0314374516601,264.7799808974161,269.9447596463932,1.671358585357666,1.671358585357666,1.671358585357666
sew-resnet34,serial,1,64,64,3,519.8728654995307,512.5798794572636,534.2816618099761,3.022049903869629,3.022049903869629,3.022049903869629
sew-resnet34,serial,1,128,128,3,910.3895097858348,901.0399280959024,910.9010979176389,5.720535755157471,5.720535755157471,5.720535755157471
sew-resnet34,serial,1,256,256,3,988.5007871033862,988.3359335685361,989.113607070976,11.084904193878174,11.084904193878174,11.084904193878174
sew-resnet34,tp4,4,16,16,3,126.74407531479793,124.45074680960846,127.94211812798046,0.6017613410949707,0.6017613410949707,0.6017613410949707
sew-resnet34,tp4,4,32,32,3,242.14754758736657,242.07635037729852,244.12532921936344,1.104323387145996,1.104323387145996,1.104323387145996
sew-resnet34,tp4,4,64,64,3,335.4120861188476,333.3797142870407,335.48023438860935,2.106259822845459,2.106259822845459,2.106259822845459
sew-resnet34,tp4,4,128,128,3,330.39966380991655,329.02164346232604,331.6156930512394,4.114965915679932,4.114965915679932,4.114965915679932
sew-resnet34,tp4,4,256,256,3,327.21246744085124,327.08963041177265,327.797902563521,8.13241720199585,8.13241720199585,8.13241720199585
sew-resnet34,tp4,4,512,512,3,320.70791282874626,318.5911691134397,321.65401727628984,16.166709423065186,16.166709423065186,16.166709423065186
spikelm-1.41b,cp4,4,1,1,3,77.27996592990947,76.95522398614109,77.51569560103302,12.340373992919922,12.340373992919922,12.340373992919922
spikelm-1.41b,cp4,4,2,2,3,153.63894835019155,152.69736694405933,154.67281534742847,12.606918334960938,12.606918334960938,12.607511520385742
spikelm-1.41b,cp4,4,4,4,3,295.20136228871183,293.62996130052977,295.7991555410443,13.140565872192383,13.140350341796875,13.141176223754883
spikelm-1.41b,cp4,4,8,8,3,533.5229068179061,530.4068918299007,533.6329164020915,14.203378677368164,14.203378677368164,14.203378677368164
spikelm-1.41b,cp4,4,16,16,3,865.5166330288135,861.1738825767737,868.716294124213,16.518823623657227,16.518823623657227,16.518823623657227
spikelm-1.41b,dp2,2,2,1,3,303.0490377577657,299.7367332557342,306.05684451665167,17.34938669204712,17.34938669204712,17.34938669204712
spikelm-1.41b,dp4,4,4,1,3,327.30701004895803,326.28687645248465,330.5966823696796,13.398254871368408,13.398254871368408,13.398254871368408
spikelm-1.41b,dp4,4,8,2,3,650.5419994198343,649.5182701806976,651.3616536213125,14.72010087966919,14.72010087966919,14.72010087966919
spikelm-1.41b,dp4,4,16,4,3,1284.3053696543573,1283.6305368775043,1288.599346050604,17.553612232208252,17.553612232208252,17.553612232208252
spikelm-1.41b,pp4,4,1,1,3,517.5916246586079,517.3027063817545,520.0644465056042,7.414459228515625,7.414459228515625,7.414459228515625
spikelm-1.41b,pp4,4,2,2,3,1005.8109845465742,998.6939903672151,1032.6876119750261,7.821247100830078,7.821247100830078,7.821247100830078
spikelm-1.41b,pp4,4,4,4,3,2024.994784714698,1993.0504867662644,2070.338970576403,8.824275970458984,8.824275970458984,8.824275970458984
spikelm-1.41b,pp4,4,8,8,3,2897.0479599599066,2879.548070429142,2905.082075760191,10.832286834716797,10.832286834716797,10.832286834716797
spikelm-1.41b,pp4,4,16,16,3,2997.4369945897597,2992.4095654023263,3012.804725217432,14.850261688232422,14.850261688232422,14.850261688232422
spikelm-1.41b,tp4,4,1,1,3,615.7074217479008,615.7048297076493,618.3105588409683,6.645865440368652,6.645865440368652,6.645865440368652
spikelm-1.41b,tp4,4,2,2,3,1230.0688087688106,1195.6305886093378,1249.7599589544084,7.294066905975342,7.294066905975342,7.294066905975342
spikelm-1.41b,tp4,4,4,4,3,1537.8748962486015,1536.226589817951,1543.075060281282,8.57997179031372,8.57997179031372,8.57997179031372
spikelm-1.41b,tp4,4,8,8,3,1655.445543241675,1648.6711344608452,1659.4630872872187,11.208178043365479,11.208178043365479,11.208178043365479
spikelm-1.41b,tp4,4,16,16,3,1684.3552731417913,1684.2181425359765,1689.9723481825192,16.466543674468994,16.466543674468994,16.466543674468994
spikformer,dp4,4,64,16,3,515.304087299116,514.3721529900193,515.9931065823546,1.7329130172729492,1.7329130172729492,1.765681266784668
